signal_date,entry_date,exit_date,regime,return_,adverse_excursion,feature_set
2026-05-17 00:00:00+00:00,2026-05-18 00:00:00+00:00,2026-05-25 00:00:00+00:00,Soft / mixed,-0.004958897597924894,-0.04127032515074325,Price + derivatives
2026-05-24 00:00:00+00:00,2026-05-25 00:00:00+00:00,2026-06-01 00:00:00+00:00,Soft / mixed,-0.043915230584493536,-0.05934897608152412,Price + derivatives
2026-05-31 00:00:00+00:00,2026-06-01 00:00:00+00:00,2026-06-08 00:00:00+00:00,Soft / mixed,-0.14043660793812873,-0.19780419717147146,Price + derivatives
2026-06-07 00:00:00+00:00,2026-06-08 00:00:00+00:00,2026-06-15 00:00:00+00:00,Defensive,0.03796608563101733,-0.0425232796000411,Price + derivatives
2026-06-14 00:00:00+00:00,2026-06-15 00:00:00+00:00,2026-06-22 00:00:00+00:00,Soft / mixed,-0.03692893014761833,-0.053166945670369836,Price + derivatives
2026-06-21 00:00:00+00:00,2026-06-22 00:00:00+00:00,2026-06-29 00:00:00+00:00,Soft / mixed,-0.058988613127613276,-0.08281476658965858,Price + derivatives
2026-06-28 00:00:00+00:00,2026-06-29 00:00:00+00:00,2026-07-06 00:00:00+00:00,Soft / mixed,0.06824471372148633,-0.030135817727504732,Price + derivatives
2026-07-05 00:00:00+00:00,2026-07-06 00:00:00+00:00,2026-07-13 00:00:00+00:00,Soft / mixed,0.002052994290600907,-0.03681399180059863,Price + derivatives
2026-07-12 00:00:00+00:00,2026-07-13 00:00:00+00:00,2026-07-20 00:00:00+00:00,Soft / mixed,0.014953329672915405,-0.030863597144874078,Price + derivatives
2026-07-19 00:00:00+00:00,2026-07-20 00:00:00+00:00,2026-07-27 00:00:00+00:00,Soft / mixed,0.010476334735742387,-0.015756234331094077,Price + derivatives
2026-07-26 00:00:00+00:00,2026-07-27 00:00:00+00:00,2026-08-03 00:00:00+00:00,Soft / mixed,-0.02799345325501712,-0.047968673519334315,Price + derivatives
2026-08-02 00:00:00+00:00,2026-08-03 00:00:00+00:00,2026-08-10 00:00:00+00:00,Soft / mixed,0.02073461859852488,-0.02013190465474568,Price + derivatives
