signal_date,entry_date,exit_date,regime,return_,adverse_excursion,feature_set
2026-03-22 00:00:00+00:00,2026-03-23 00:00:00+00:00,2026-04-22 00:00:00+00:00,Soft / mixed,0.12482584651493989,-0.04264309334921679,Price only
2026-04-21 00:00:00+00:00,2026-04-22 00:00:00+00:00,2026-05-22 00:00:00+00:00,Expansion,0.01695528397741386,-0.018281717757959948,Price only
2026-05-21 00:00:00+00:00,2026-05-22 00:00:00+00:00,2026-06-21 00:00:00+00:00,Soft / mixed,-0.17171381288955556,-0.23852792427734038,Price only
2026-06-20 00:00:00+00:00,2026-06-21 00:00:00+00:00,2026-07-21 00:00:00+00:00,Firm / mixed,0.014871143725861735,-0.10129245285954802,Price only
2026-07-20 00:00:00+00:00,2026-07-21 00:00:00+00:00,2026-08-20 00:00:00+00:00,Soft / mixed,0.06261623922319615,-0.04570760076110336,Price only
2026-03-22 00:00:00+00:00,2026-03-23 00:00:00+00:00,2026-04-22 00:00:00+00:00,Defensive,0.12482584651493989,-0.04264309334921679,Price + derivatives
2026-04-21 00:00:00+00:00,2026-04-22 00:00:00+00:00,2026-05-22 00:00:00+00:00,Firm / mixed,0.01695528397741386,-0.018281717757959948,Price + derivatives
2026-05-21 00:00:00+00:00,2026-05-22 00:00:00+00:00,2026-06-21 00:00:00+00:00,Soft / mixed,-0.17171381288955556,-0.23852792427734038,Price + derivatives
2026-06-20 00:00:00+00:00,2026-06-21 00:00:00+00:00,2026-07-21 00:00:00+00:00,Soft / mixed,0.014871143725861735,-0.10129245285954802,Price + derivatives
2026-07-20 00:00:00+00:00,2026-07-21 00:00:00+00:00,2026-08-20 00:00:00+00:00,Firm / mixed,0.06261623922319615,-0.04570760076110336,Price + derivatives
2026-03-22 00:00:00+00:00,2026-03-23 00:00:00+00:00,2026-04-22 00:00:00+00:00,Defensive,0.12482584651493989,-0.04264309334921679,Price + derivatives + on-chain
2026-04-21 00:00:00+00:00,2026-04-22 00:00:00+00:00,2026-05-22 00:00:00+00:00,Defensive,0.01695528397741386,-0.018281717757959948,Price + derivatives + on-chain
2026-05-21 00:00:00+00:00,2026-05-22 00:00:00+00:00,2026-06-21 00:00:00+00:00,Soft / mixed,-0.17171381288955556,-0.23852792427734038,Price + derivatives + on-chain
2026-06-20 00:00:00+00:00,2026-06-21 00:00:00+00:00,2026-07-21 00:00:00+00:00,Defensive,0.014871143725861735,-0.10129245285954802,Price + derivatives + on-chain
2026-07-20 00:00:00+00:00,2026-07-21 00:00:00+00:00,2026-08-20 00:00:00+00:00,Defensive,0.06261623922319615,-0.04570760076110336,Price + derivatives + on-chain
