strategy,total_return,max_drawdown,annualized_volatility,days,exposure,one_way_cost_bps,turnover
Regime long / cash,0.010248029557523575,-0.14374715866883248,0.2682034267373191,178,0.6235955056179775,0,22.0
Buy and hold,0.10869479180976183,-0.2890986832838993,0.3763425727771002,178,1.0,0,2.0
Regime long / cash,-0.01174560821644477,-0.1488718490364178,0.2674908895591575,178,0.6235955056179775,10,22.0
Buy and hold,0.10647851092093408,-0.2890986832838994,0.37606219073852876,178,1.0,10,2.0
Regime long / cash,-0.043881089477931345,-0.15651094466272897,0.26669925710623377,178,0.6235955056179775,25,22.0
Buy and hold,0.1031582471931618,-0.289098683283899,0.37566253890929335,178,1.0,25,2.0
Regime long / cash,-0.09523500731374768,-0.17235198389377404,0.26612555764226686,178,0.6235955056179775,50,22.0
Buy and hold,0.09763556126146034,-0.2890986832838994,0.37505243752206385,178,1.0,50,2.0
