signal_date,entry_date,exit_date,regime,return_,adverse_excursion,feature_set
2026-03-22 00:00:00+00:00,2026-03-23 00:00:00+00:00,2026-04-06 00:00:00+00:00,Soft / mixed,0.01731288359839045,-0.04264309334921679,Price only
2026-04-05 00:00:00+00:00,2026-04-06 00:00:00+00:00,2026-04-20 00:00:00+00:00,Firm / mixed,0.06903238148238344,-0.019179043047777955,Price only
2026-04-19 00:00:00+00:00,2026-04-20 00:00:00+00:00,2026-05-04 00:00:00+00:00,Expansion,0.06458412977287575,-0.001521030070845808,Price only
2026-05-03 00:00:00+00:00,2026-05-04 00:00:00+00:00,2026-05-18 00:00:00+00:00,Firm / mixed,-0.01417931259303784,-0.023664871596678405,Price only
2026-05-17 00:00:00+00:00,2026-05-18 00:00:00+00:00,2026-06-01 00:00:00+00:00,Soft / mixed,-0.04865635705096061,-0.06401356818451898,Price only
2026-05-31 00:00:00+00:00,2026-06-01 00:00:00+00:00,2026-06-15 00:00:00+00:00,Firm / mixed,-0.10780235058982002,-0.19780419717147146,Price only
2026-06-14 00:00:00+00:00,2026-06-15 00:00:00+00:00,2026-06-29 00:00:00+00:00,Firm / mixed,-0.093739156901537,-0.11668543600669612,Price only
2026-06-28 00:00:00+00:00,2026-06-29 00:00:00+00:00,2026-07-13 00:00:00+00:00,Firm / mixed,0.07043781401972105,-0.030135817727504732,Price only
2026-07-12 00:00:00+00:00,2026-07-13 00:00:00+00:00,2026-07-27 00:00:00+00:00,Firm / mixed,0.02558632049572518,-0.030863597144874078,Price only
2026-07-26 00:00:00+00:00,2026-07-27 00:00:00+00:00,2026-08-10 00:00:00+00:00,Firm / mixed,-0.007839268232990748,-0.047968673519334315,Price only
2026-08-09 00:00:00+00:00,2026-08-10 00:00:00+00:00,2026-08-24 00:00:00+00:00,Firm / mixed,0.19809445990426067,-0.036359431729709346,Price only
2026-08-23 00:00:00+00:00,2026-08-24 00:00:00+00:00,2026-09-07 00:00:00+00:00,Expansion,0.033289325025800176,-0.019475606272341905,Price only
2026-03-22 00:00:00+00:00,2026-03-23 00:00:00+00:00,2026-04-06 00:00:00+00:00,Defensive,0.01731288359839045,-0.04264309334921679,Price + derivatives
2026-04-05 00:00:00+00:00,2026-04-06 00:00:00+00:00,2026-04-20 00:00:00+00:00,Soft / mixed,0.06903238148238344,-0.019179043047777955,Price + derivatives
2026-04-19 00:00:00+00:00,2026-04-20 00:00:00+00:00,2026-05-04 00:00:00+00:00,Soft / mixed,0.06458412977287575,-0.001521030070845808,Price + derivatives
2026-05-03 00:00:00+00:00,2026-05-04 00:00:00+00:00,2026-05-18 00:00:00+00:00,Soft / mixed,-0.01417931259303784,-0.023664871596678405,Price + derivatives
2026-05-17 00:00:00+00:00,2026-05-18 00:00:00+00:00,2026-06-01 00:00:00+00:00,Soft / mixed,-0.04865635705096061,-0.06401356818451898,Price + derivatives
